"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes"
"2003*";"18 to 24 years";"Leisure";"1.32";"12.44";"28.72";"0.31";"17.07";"26.90";"0.25";"21.97";"33.58";"0.04";"61.95";"62.04";"0.08";"12.32";"29.88";"0.32";"3.63";"22.56";"0.28";"1.80";"26.53";"0.05";"12.72";"39.99"
"2003*";"18 to 24 years";"Other";"0.50";"14.98";"22.65";"0.17";"17.14";"22.20";"0.07";"25.13";"29.51";".";".";".";".";".";".";"0.11";"2.63";"15.62";"0.07";"0.83";"11.31";".";".";"."
"2003*";"60 to 64 years";"Total";"2.85";"12.02";"26.75";"0.98";"17.48";"25.27";"0.36";"22.27";"31.06";"0.04";"61.16";"61.00";"0.09";"10.72";"28.18";"0.73";"4.26";"24.25";"0.57";"1.63";"25.99";"0.08";"19.97";"34.67"
"2003*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.28";"14.03";"24.56";"0.10";"19.95";"28.36";".";".";".";".";".";".";".";".";".";"0.08";"3.49";"17.49";".";".";".";".";".";"."
"2003*";"60 to 64 years";"Shopping, groceries, fun shopping.";"0.91";"5.02";"15.44";"0.29";"7.67";"15.69";"0.10";"10.52";"19.45";".";".";".";".";".";".";"0.29";"2.11";"13.12";"0.19";"0.96";"14.14";".";".";"."
"2003*";"60 to 64 years";"Attending education/courses";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"2003*";"60 to 64 years";"Leisure";"1.16";"15.23";"37.56";"0.36";"21.63";"31.36";"0.19";"27.14";"37.51";".";".";".";".";".";".";"0.27";"7.38";"41.29";"0.28";"2.34";"38.83";".";".";"."
"2003*";"60 to 64 years";"Other";"0.48";"16.31";"23.61";"0.23";"22.12";"26.42";"0.05";"27.67";"30.30";".";".";".";".";".";".";"0.09";"2.66";"15.78";"0.07";"0.99";"13.75";".";".";"."
"2007*";"Total";"Total";"3.20";"11.07";"23.88";"1.01";"17.06";"24.44";"0.40";"19.27";"27.93";"0.07";"48.59";"49.50";"0.13";"10.10";"26.90";"0.85";"3.37";"19.29";"0.63";"1.44";"21.36";"0.11";"17.74";"33.71"
"2007*";"Total";"Travel to/from work, (non)-daily commute";"0.61";"15.49";"25.15";"0.26";"22.41";"29.76";"0.03";"21.24";"30.49";"0.03";"41.37";"41.95";"0.04";"10.20";"25.36";"0.15";"3.71";"17.72";"0.06";"0.89";"10.46";"0.04";"20.37";"29.66"
"2007*";"Total";"Shopping, groceries, fun shopping.";"0.65";"5.18";"14.60";"0.22";"7.30";"14.59";"0.08";"10.88";"19.20";"0.01";"42.14";"45.73";"0.02";"8.22";"24.70";"0.18";"1.94";"12.08";"0.13";"0.88";"12.51";"0.01";"6.00";"16.06"
"2007*";"Total";"Attending education/courses";"0.30";"6.91";"17.91";"0.02";"23.51";"29.07";"0.03";"8.66";"16.90";"0.01";"38.41";"41.20";"0.03";"11.96";"27.76";"0.13";"3.00";"15.76";"0.07";"0.71";"9.31";"0.01";"12.73";"30.88"
"2007*";"Total";"Leisure";"1.10";"12.67";"32.03";"0.27";"19.96";"28.71";"0.21";"23.26";"32.55";"0.02";"64.27";"65.90";"0.03";"10.18";"30.40";"0.27";"4.84";"29.53";"0.28";"2.17";"33.71";"0.03";"18.71";"48.66"
"2007*";"Total";"Other";"0.54";"12.11";"20.19";"0.25";"16.43";"22.55";"0.06";"19.79";"26.47";"0.01";"62.44";"58.81";"0.01";"8.57";"25.77";"0.12";"2.20";"12.94";"0.08";"0.84";"11.46";"0.02";"20.26";"29.84"
"2007*";"18 to 24 years";"Total";"3.75";"11.69";"23.60";"0.87";"16.96";"24.96";"0.44";"20.46";"30.02";"0.23";"45.81";"46.90";"0.40";"10.83";"26.56";"0.92";"3.08";"17.46";"0.76";"1.20";"16.19";"0.15";"13.15";"30.00"
"2007*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.87";"12.44";"22.44";"0.26";"19.46";"26.93";"0.07";"19.57";"28.91";"0.05";"37.91";"39.69";"0.09";"10.35";"25.47";"0.23";"3.21";"16.38";"0.12";"0.78";"9.69";".";".";"."
"2007*";"18 to 24 years";"Shopping, groceries, fun shopping.";"0.52";"5.91";"15.03";"0.12";"7.82";"15.23";"0.07";"12.20";"20.77";".";".";".";".";".";".";"0.14";"1.82";"11.46";"0.14";"0.76";"10.49";".";".";"."
"2007*";"18 to 24 years";"Attending education/courses";"0.67";"12.37";"22.81";"0.05";"23.65";"33.07";".";".";".";"0.10";"39.18";"41.48";"0.17";"11.73";"26.57";"0.15";"3.08";"15.69";"0.16";"0.77";"9.29";".";".";"."
"2007*";"18 to 24 years";"Leisure";"1.26";"12.56";"28.88";"0.28";"17.85";"27.39";"0.22";"23.02";"33.77";"0.04";"60.68";"61.24";"0.07";"10.63";"29.31";"0.31";"3.65";"22.38";"0.29";"1.89";"26.59";"0.05";"13.10";"40.85"
"2007*";"18 to 24 years";"Other";"0.44";"13.54";"22.10";"0.15";"16.18";"22.19";"0.06";"21.19";"28.28";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"2007*";"60 to 64 years";"Total";"2.80";"12.08";"26.91";"0.99";"17.81";"25.50";"0.32";"22.58";"31.16";"0.04";"58.41";"59.12";"0.08";"9.50";"27.78";"0.70";"4.34";"24.11";"0.57";"1.79";"26.69";"0.09";"19.48";"35.55"
"2007*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.36";"14.82";"25.05";"0.14";"21.40";"29.08";".";".";".";".";".";".";".";".";".";"0.10";"3.72";"18.06";"0.03";"0.94";"11.16";".";".";"."
"2007*";"60 to 64 years";"Shopping, groceries, fun shopping.";"0.83";"5.14";"15.20";"0.27";"7.79";"15.63";"0.09";"10.85";"19.53";".";".";".";".";".";".";"0.26";"2.13";"12.83";"0.17";"0.95";"13.61";".";".";"."
